fish_names,fish_prices in EUR,pictures,special
"3 x Diskusfisch ASIA-NZ im Mix, Symphysodon discus, S 5-6 cm",49.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/101446/middle/Asia-Discus-Bundle-2.jpeg,Sonderangebot
"5x Goldfisch im Mix, Carassius auratus, 4-7 cm (Kaltwasser)",13.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86641/middle/Goldfisch-mix-Carassius-auratus-Mix.jpg,Neuheit
"5x Goldfisch im Mix, Carassius auratus, 7-10 cm (Kaltwasser)",19.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/102935/middle/Goldfisch-mix-Carassius-auratus-Mix.jpg,Neuheit
"Adolfos Panzerwels, Corydoras adolfoi",31.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80130/middle/80130-Adolfos-Panzerwels--Corydoras-adolfoi.jpg,
"Aequidens pulcher spec. neonblue, DNZ, 3-4 cm",19.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/84250/middle/82647-Aequidens-pulcher-spec-neonblue.jpg,
"Afrikanischer Schmetterlingsfisch, Pantodon buchholzi",16.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80083/middle/80083-Afrikanischer-Schmetterlingsfisch--Pantodon-buchho.jpg,
"Amerikanische Rotflossenorfe, Notropis lutrensis (Kaltwasser & Warmwasser)",8.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/15280/middle/Amerikanische-Rotflossenorfe-Notropis-lutrensis-jpg.jpg,
"Ananas Schwertträger Wagtail, Xiphophorus helleri",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/102921/middle/Xiphophorus-helleri-Ananas-Wagtail-5.jpg,
"Ananas Schwertträger, Xiphophorus helleri",3.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/14972/middle/Xiphophorus-helleri-Ananas-7.jpg,
"Angostura-Buntbarsch, Paratheraps breidohri",24.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/100527/middle/Angostura-Buntbarsch-Paratheraps-breidohri-01.jpg,
"Augenfleckstachelaal, Macrognatus aculeatus, 7-10 cm",17.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85130/middle/Macrognathus-aculeatus-augenfleckstachelaal.jpg,
"Augenfleckwels, Auchenoglanis occidentalis (Giraffenwels)",49.99,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/85023/middle/Auchenoglanis-occidentalis.jpg,
"Aulonocara hansbaenschi ""Red Flush"", DNZ",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80271/middle/80271-Aulonocara-hansbaenschi-Red-Flush-Nachzucht-7-9-cm.jpg,
"Aulonocara hueseri ""Likoma"", DNZ",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86282/middle/Aulonocara-hueseri-LIKOMA.jpg,Neuheit
"Aulonocara jacobfreibergi ""Eureka"", DNZ",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80263/middle/80263-Aulonocara-jacobfreibergi-Eureka-Red-Nachzucht-7-9.jpg,
"Aulonocara jacobfreibergi ""Mamelela"", DNZ",29.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80264/middle/80264-Aulonocara-jacobfreibergi-Mamelela-Nachzucht-3-5-c.jpg,
"Aulonocara spec. Dragon Blood albino, DNZ",24.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/86286/middle/Aulonocara-spec--Dragon-Blood.jpg,Neuheit
"Aulonocara spec. Firefish, DNZ",31.95,https://cdn02.plentymarkets.com/idwditcg5ajj/item/images/80259/middle/80259-Aulonocara-spec-Firefish.jpg,
