name,water_parameters,fish_group,compatibility_with_crabs,temperature,pelvic_region,behaviour,compatibility_with_fish,tank_size,breeding,visual_effect,compatibility_with_shrimps,origin,diet,vegetation_possible,compatibility_with_snails_shells,compatibility_with_dwarf_crayfish,final_size,level_of_difficulty,characteristics,compatibility_with_large_crayfish,life_expectancy
Cardinalfish - Tanichthys albonubes,soft to hard,Beardies,no,18-22 °C,everywhere,active,"yes, with peaceful fish",54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,dynamic group behaviour,no,3-5 years
Red-headed Tetra - Petitella (Hemigrammus) bleheri - DNZ,soft to medium hard,Tetra,,25-30 °C,top,,,100 l (ca. 80cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Blue Neon - Paracheirodon simulans,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
Red Neon XL - Paracheirodon axelrodi,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Neon Tetra - Paracheirodon innesi,soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
"Neon tetra ""diamant"" EU-NZ - Paracheirodon innesi",soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Red Pepper Tetra - Axelrodia riesei,soft to medium hard,Tetra,no,22-28 °C,top,normal,"yes, with peaceful fish",54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,interesting color,no,
Red-tailed Feather Tetra - Hemiodus gracilis,soft to medium hard,Tetra,,20-25 °C,below,,,250/300 l (ca. 120cm),hard,swarm behaviour,socialization not possible,South America,carnivore - meat eater,yes,no,no,> 12cm,2 - normal,,,
Fork-tailed Blue-Eyed - Pseudomugil furcatus,soft to medium hard,Spikefish,,20-25 °C,,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring is eaten",Oceania,carnivore - meat eater,,yes,no,4-8 cm,1 - easy,,,
Mosquito rasbora - Boraras brigittae,soft to medium hard,Beardies,,25-30 °C,center,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring is not eaten",Asia,omnivorous - omnivorous,yes,yes,conditional (see description),1-4 cm,2 - normal,,,
Zebrafish - Brachydanio (Danio) rerio,soft to hard,Beardies,,18-28 °C,top,,,200 l (ca. 100cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Sparkling Tetra - Hyphessobrycon amandae,soft water,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
Harlequin Barb - Trigonostigma heteromorpha - DNZ,soft to medium hard,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Algae Eater - Crossocheilus siamensis,soft to medium hard,Barbs,,25-30 °C,center,,,200 l (ca. 100cm),hard,especially colorful,socialization not possible,Asia,limnivorous - growth eater (algae),yes,conditional (see description),no,> 12cm,1 - easy,,,
Web Brush Algae Eater - Crossocheilus reticulatus - DNZ,soft to hard,Barbs,,25-30 °C,center,,,400/450 l (ca. 150cm),hard,swarm behaviour,"with dwarf shrimp, offspring is not eaten",Asia,limnivorous - growth eater (algae),yes,yes,yes,> 12cm,1 - easy,,,
Copper Tetra DNZ - Hasemania nana,soft to medium hard,Tetra,,25-30 °C,center,,,100 l (ca. 80cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Bitterling barb - Puntius (Barbus) titteya - DNZ / strong colouring,soft to hard,Barbs,,25-30 °C,center,,,54 l (ca. 60cm),simply,especially colorful,socialization not possible,Asia,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Espes harlequin rasbora - Trigonostigma (Rasbora) espei,soft to medium hard,Beardies,,18-28 °C,center,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",Asia,omnivorous - omnivorous,yes,yes,no,1-4 cm,2 - normal,,,
Guinea fowl rasbora - Celestichthys (Danio) margaritatus (minifish),soft to medium hard,Beardies,,20-25 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",Asia,carnivore - meat eater,yes,yes,yes,1-4 cm,1 - easy,,,
Five girdle barbel - Desmopuntius (Puntius) pentazona,soft water,Barbs,,25-30 °C,below,,,200 l (ca. 100cm),medium,especially colorful,with shrimp 4-6 cm size,Asia,omnivorous - omnivorous,conditional (see description),no,no,4-8 cm,2 - normal,,,
Neon Black - Hyphessobrycon herbertaxelrodi - DNZ,soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
Redfin Glass Tetra - Prionobrama filigera,soft to medium hard,Tetra,,20-25 °C,center,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,conditional (see description),4-8 cm,2 - normal,,,
Brocade Barb - Barbodes semifasciolatus DNZ,soft to medium hard,Barbs,,20-25 °C,below,,,200 l (ca. 100cm),simply,especially colorful,with shrimp 4-6 cm size,Asia,herbivore - plant eater,yes,yes,no,8-12 cm,1 - easy,,,
Star spot tetra EU NZ - Pristella maxillaris,soft to hard,Tetra,,25-30 °C,top,,,100 l (ca. 80cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Kaisertetra EU-NZ - Nematobrycon palmeri,soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),hard,especially colorful,"with dwarf shrimp, offspring is eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Ornamental Tetra - Hyphessobrycon bentosi - DNZ,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Glowlight Tetra DNZ - Hemigrammus erythrozonus,soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
"Black Emperor Tetra - Nematobrycon palmeri ""black""",soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),medium,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Sumatran barb - Barbus tetrazona - DNZ,soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,swarm behaviour,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,no,4-8 cm,1 - easy,,,
Black Phantom Tetra - Hyphessobrycon megalopterus,soft to medium hard,Tetra,,25-30 °C,center,,,54 l (ca. 60cm),hard,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,2 - normal,,,
Black Neon XL - Hyphessobrycon herbertaxelrodi,soft to medium hard,Tetra,,25-30 °C,top,,,54 l (ca. 60cm),simply,swarm behaviour,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,4-8 cm,1 - easy,,,
"Blood Tetra ""Extra Red"" - Hyphessobrycon callistus",medium hard water,Tetra,,25-30 °C,center,,,200 l (ca. 100cm),medium,swarm behaviour,with shrimp 4-6 cm size,South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,2 - normal,,,
Rio Red - Hyphessobrycon flammeus - DNZ,soft to medium hard,Tetra,,20-25 °C,center,,,54 l (ca. 60cm),simply,especially colorful,"with dwarf shrimp, offspring may be eaten",South America,omnivorous - omnivorous,yes,yes,yes,1-4 cm,1 - easy,,,
"Sumatran barb ""gold"" - Barbus tetrazona",soft to hard,Barbs,,20-25 °C,center,,,100 l (ca. 80cm),simply,swarm behaviour,socialization not possible,Asia,omnivorous - omnivorous,conditional (see description),yes,no,4-8 cm,1 - easy,,,
